Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome,observation_date,GDP,Quarterly_Return,M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE
AMZN,2022-06-30,USD,39590000000,120533000000,80943000000,66424000000,3317000000,12989000000,15468000000,14519000000,159000000,-584000000.0,159000000.0,584000000,121117000000,-5545000000,,1530000000,-2665000000,-637000000,584000000,-2028000000,-4445000000,-2081000000,-551000000,-2028000000,USD,419728000000,133667000000,37478000000,60710000000,38153000000,34804000000,112370000000,173706000000,,20195000000,,20195000000,69363000000,,23232000000,207000000.0,33730000000,288326000000,140291000000,71219000000,15418000000.0,11025000000,235000000,150635000000,12625000000,63435000000,4998000000,58053000000,63670000000,56254000000,23458000000,131402000000,7837000000,80043000000,107000000,10183000000,USD,8965000000,2183000000,,4020000000,3890000000,9716000000,15724000000,-6799000000.0,3890000000,-2028000000,-12078000000,4626000000,-2745000000,3334000000,3334000000,,,,,,12824000000,,-3334000000,,1513000000.0,,-2028000000,2022-06-30,0.27053623889152884,-0.3483949098893814,0.9160616380751032,0.8292250681694414,-0.9937999339862807,1.6619110904869285,0.021402314331830864,0.5180081480299389,-0.5215413816111534
AMZN,2022-03-31,USD,37013000000,115986000000,78973000000,66499000000,3669000000,10914000000,12270000000,12474000000,108000000,-472000000.0,108000000.0,472000000,116458000000,-8570000000,,1560000000,-5266000000,-1422000000,472000000,-3844000000,-4833000000,-4794000000,-3234000000,-3844000000,USD,410767000000,133876000000,36393000000,66385000000,34987000000,32504000000,108438000000,168468000000,,20229000000,,20229000000,77110000000,,29992000000,191000000.0,32033000000,276766000000,139508000000,68547000000,15320000000.0,9523000000,16163000000,139758000000,14085000000,50553000000,2681000000,47556000000,50553000000,58141000000,23971000000,134001000000,4503000000,82071000000,5000000,509000000,USD,-2790000000,2474000000,,-8044000000,2614000000,9193000000,14951000000,-1516000000.0,2614000000,-3844000000,906000000,1990000000,7512000000,2666000000,2666000000,,,,,,0,,-2666000000,,106000000.0,,-3844000000,2022-03-31,0.07732925972842776,-0.02231024902605705,0.8525129715103692,0.7966047974372742,-1.1117094957809084,0.9492134399045892,-0.3957972470466594,0.1848238927751541,-0.4292443613502706
AMZN,2021-12-31,USD,20863000000,136903000000,116040000000,82835000000,3460000000,30235000000,2001000000,34205000000,118000000,-482000000.0,118000000.0,482000000,137385000000,11838000000,,2970000000,14935000000,612000000,482000000,14314000000,14022000000,15417000000,18387000000,14323000000,USD,420549000000,161580000000,36220000000,96049000000,32640000000,32891000000,103810000000,160281000000,,20478000000,5107000000.0,15371000000,127810000000,,59829000000,7391000000.0,27235000000,282304000000,142266000000,78664000000,28027000000.0,9574000000,318000000,142238000000,15670000000,50553000000,1491000000,48744000000,50871000000,51775000000,23643000000,138245000000,1837000000,85915000000,106000000,509000000,USD,22086000000,1807000000,,8909000000,1915000000,9939000000,18935000000,-6556000000.0,1915000000,14314000000,-12580000000,-3100000000,0,0,0,,,,,,200000000,,0,,6300000000.0,-106000000.0,14323000000,2021-12-31,-0.06617773609572862,0.015007405415936592,0.6862064737851605,0.7253442749077025,-1.1117094957809084,0.2914903919095403,-0.7279644685899896,-0.1070025798418238,-0.2446503208285047
AMZN,2021-09-30,USD,34622000000,110212000000,75590000000,62930000000,4852000000,10163000000,12097000000,12660000000,119000000,-493000000.0,119000000.0,493000000,110705000000,-163000000,,2497000000,4311000000,1155000000,493000000,3156000000,2606000000,4804000000,7301000000,3156000000,USD,382406000000,138531000000,29944000000,78988000000,30933000000,28610000000,96738000000,147152000000,,15345000000,,15345000000,116191000000,,49044000000,6910000000.0,29227000000,261842000000,123994000000,71474000000,12974000000.0,9712000000,15625000000,139848000000,15807000000,51376000000,1000000000,50055000000,51376000000,41546000000,23945000000,120564000000,1837000000,71592000000,5000000,507000000,USD,7313000000,1933000000,,4170000000,7059000000,8948000000,15748000000,-4890000000.0,7059000000,3156000000,-14828000000,-2776000000,270000000,0,0,,,,,,176000000,,0,,-10490000000.0,-199000000.0,3156000000,2021-09-30,-0.3460372107907515,-0.045090907994131846,0.47658049821778886,0.6349482392320961,-1.1022767308373382,0.09215903339315717,-1.0087172654422838,-0.4077227281743458,0.170686270345468
AMZN,2021-06-30,USD,36408000000,112755000000,76347000000,64176000000,7702000000,9682000000,11794000000,12171000000,106000000,-435000000.0,106000000.0,435000000,113190000000,1261000000,,2489000000,8646000000,868000000,435000000,7778000000,7919000000,9081000000,11570000000,7778000000,USD,360319000000,140848000000,40380000000,89894000000,24119000000,26835000000,85991000000,133502000000,,15350000000,,15350000000,127527000000,,49514000000,6335000000.0,27273000000,245516000000,117792000000,66090000000,12595000000.0,10600000000,15814000000,129624000000,16228000000,51762000000,1158000000,50279000000,51762000000,41007000000,21148000000,114803000000,1837000000,68436000000,5000000,506000000,USD,12715000000,1706000000,,203000000,209000000,8038000000,14288000000,-4462000000.0,209000000,7778000000,-22080000000,15643000000,0,0,0,,,,,,18516000000,,0,,6512000000.0,234000000.0,7778000000,2021-06-30,-0.5270783362938625,0.11185232082950591,0.2749333660111127,0.546687290174294,-1.1164258782526937,-0.1465455510633877,-1.3063201678655911,-0.5493205602563276,0.4937258412585582
AMZN,2021-03-31,USD,35035000000,108088000000,73053000000,62403000000,8865000000,8194000000,10584000000,10650000000,105000000,-399000000.0,105000000.0,399000000,108487000000,1697000000,,2456000000,10263000000,2156000000,399000000,8107000000,7621000000,10662000000,13118000000,8107000000,USD,323077000000,121408000000,33834000000,73270000000,23849000000,24289000000,149530000000,52161000000,,15220000000,,15220000000,102276000000,,39436000000,5389000000.0,25660000000,219757000000,115404000000,63926000000,12439000000.0,11018000000,1881000000,106253000000,16930000000,33227000000,1156000000,31868000000,33227000000,40939000000,19418000000,103320000000,1837000000,60658000000,5000000,504000000,USD,4213000000,1797000000,,-7366000000,304000000,7508000000,12082000000,-2255000000.0,304000000,8107000000,-8666000000,-3476000000,-75000000,0,0,,,,,,111000000,,0,,-8222000000.0,-293000000.0,8107000000,2021-03-31,-0.7601403509283045,-0.05000108692515037,-0.04675909130421303,0.40528997491399466,-1.1069931133091233,-0.6360695587272973,-1.721647495291746,-0.8061856869570243,0.6783198817803241
AMZN,2020-12-31,USD,125555000000,125555000000,102441000000,79284000000,6873000000,20271000000,5242000000,24557000000,100000000,-414000000.0,100000000.0,414000000,125555000000,1206000000,,2886000000,7788000000,566000000,414000000,7199000000,8071000000,8202000000,11088000000,7222000000,USD,321195000000,132733000000,42122000000,84396000000,23795000000,24542000000,148451000000,45014000000,,19998000000,4981000000.0,15017000000,116207000000,,42274000000,4942000000.0,22778000000,227791000000,126385000000,72539000000,23208000000.0,11529000000,1991000000,103306000000,18060000000,33174000000,1155000000,31816000000,33174000000,44138000000,17017000000,93404000000,1837000000,52551000000,5000000,503000000,USD,30431000000,1328000000,,13582000000,-329000000,7547000000,14823000000,-4561000000.0,-329000000,7199000000,-17037000000,-1816000000,0,0,0,,,,,,531000000,,0,,7199000000.0,597000000.0,7222000000,2020-12-31,-0.9526030429990517,0.034363085468763765,-0.27923357285903205,0.2933343803834178,-1.1069931133091233,-1.1467240990961236,-0.8904990644520114,-0.9289446985577992,0.9090624324325313
AMZN,2020-09-30,USD,29309000000,95717000000,66408000000,57106000000,6194000000,7102000000,9334000000,9302000000,118000000,-428000000.0,118000000.0,428000000,96145000000,925000000,,2200000000,6900000000,569000000,428000000,6331000000,6757000000,7328000000,9528000000,6331000000,USD,282179000000,112969000000,29930000000,68402000000,23735000000,20832000000,234143000000,99981000000,,14960000000,,14960000000,97030000000,,38472000000,4432000000.0,20150000000,199404000000,101912000000,58334000000,11151000000.0,10415000000,880000000,99392000000,17490000000,33288000000,155000000,32929000000,33288000000,34327000000,15974000000,82775000000,1837000000,45329000000,5000000,502000000,USD,11964000000,1314000000,,3736000000,3899000000,6523000000,11063000000,-2016000000.0,3899000000,6331000000,-15876000000,-4105000000,-38000000,0,0,,,,,,0,,0,,-7640000000.0,377000000.0,6331000000,2020-09-30,-1.0783581043341868,0.14133215989511738,-0.4592411147389709,0.19842737222959317,-1.1069931133091233,-1.3228118716370982,-0.42573241628453756,-1.0186700575008363,1.693587104650036
AMZN,2020-06-30,USD,27895000000,88509000000,60614000000,52660000000,5843000000,5925000000,8945000000,7954000000,135000000,-403000000.0,135000000.0,403000000,88912000000,646000000,,2029000000,6227000000,984000000,403000000,5243000000,5851000000,6630000000,8659000000,5243000000,USD,258314000000,110908000000,37466000000,71391000000,19599000000,19918000000,208228000000,86517000000,,14751000000,,14751000000,96006000000,,33925000000,4618000000.0,17601000000,184586000000,93896000000,51036000000,8997000000.0,11215000000,1884000000,90690000000,16729000000,34486000000,1154000000,33128000000,34486000000,33863000000,14764000000,73728000000,1837000000,38998000000,5000000,501000000,USD,20606000000,1247000000,,8863000000,672000000,5748000000,7459000000,-2854000000.0,672000000,5243000000,-17804000000,7408000000,527000000,0,0,,,,,,9918000000,,0,,10337000000.0,127000000.0,5243000000,2020-06-30,-1.650846126870244,0.4149826044389122,-0.9881014191115556,-1.7256709492002018,-1.1258586431962638,-1.4742473560223368,0.382229117145516,-1.1481321842960897,3.908715590911224
AMZN,2020-03-31,USD,22619000000,75050000000,52431000000,44257000000,3989000000,6280000000,7993000000,8174000000,202000000,-402000000.0,202000000.0,402000000,75452000000,-406000000,,1894000000,3279000000,744000000,402000000,2535000000,1458000000,3681000000,5575000000,2535000000,USD,221238000000,85985000000,27201000000,49292000000,18857000000,17836000000,193275000000,77779000000,,14739000000,,14739000000,63151000000,,22091000000,3836000000.0,16456000000,155966000000,79711000000,40056000000,10664000000.0,14414000000,1311000000,78055000000,16495000000,24849000000,1311000000,23437000000,24849000000,30791000000,12518000000,65272000000,1837000000,33755000000,5000000,499000000,USD,3064000000,1197000000,,-7437000000,-1392000000,5362000000,6795000000,1262000000.0,-1392000000,2535000000,-8894000000,-2591000000,-14000000,0,0,,,,,,693000000,,0,,-8905000000.0,-484000000.0,2535000000,2020-03-31,-1.064249379882544,0.055134663869643274,-1.631929602817802,-1.8558951796034195,-0.41840127242849795,-1.4073340024567662,-1.0267400889834415,-1.1028313927203548,-0.5676898917415949
