M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE,M1SL,M2SL,INCOME_STATEMENT_operatingIncome,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_capitalExpenditures,CASH_FLOW_operatingCashflow,CASH_FLOW_changeInOperatingLiabilities,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,Quarterly_Return,fiscalDateEnding
0.9160616380751032,0.8292250681694414,-0.9937999339862807,1.6619110904869283,0.0214023143318308,0.5180081480299389,-0.5215413816111534,0.8292250681694414,0.9160616380751032,3317000000,-12078000000,15724000000,8965000000,4020000000,37478000000,-0.3483949098893814,2022-06-30
0.8525129715103692,0.7966047974372742,-1.1117094957809084,0.9492134399045892,-0.3957972470466594,0.1848238927751541,-0.4292443613502706,0.7966047974372742,0.8525129715103692,3669000000,906000000,14951000000,-2790000000,-8044000000,36393000000,-0.022310249026057,2022-03-31
0.6862064737851605,0.7253442749077025,-1.1117094957809084,0.2914903919095403,-0.7279644685899896,-0.1070025798418238,-0.2446503208285047,0.7253442749077025,0.6862064737851605,3460000000,-12580000000,18935000000,22086000000,8909000000,36220000000,0.0150074054159365,2021-12-31
0.4765804982177888,0.6349482392320961,-1.1022767308373382,0.0921590333931571,-1.0087172654422838,-0.4077227281743458,0.170686270345468,0.6349482392320961,0.4765804982177888,4852000000,-14828000000,15748000000,7313000000,4170000000,29944000000,-0.0450909079941318,2021-09-30
0.2749333660111127,0.546687290174294,-1.1164258782526937,-0.1465455510633877,-1.3063201678655911,-0.5493205602563276,0.4937258412585582,0.546687290174294,0.2749333660111127,7702000000,-22080000000,14288000000,12715000000,203000000,40380000000,0.1118523208295059,2021-06-30
-0.046759091304213,0.4052899749139946,-1.106993113309123,-0.6360695587272973,-1.721647495291746,-0.8061856869570243,0.6783198817803241,0.4052899749139946,-0.046759091304213,8865000000,-8666000000,12082000000,4213000000,-7366000000,33834000000,-0.0500010869251503,2021-03-31
-0.279233572859032,0.2933343803834178,-1.106993113309123,-1.1467240990961236,-0.8904990644520114,-0.9289446985577992,0.9090624324325312,0.2933343803834178,-0.279233572859032,6873000000,-17037000000,14823000000,30431000000,13582000000,42122000000,0.0343630854687637,2020-12-31
-0.4592411147389709,0.1984273722295931,-1.106993113309123,-1.3228118716370982,-0.4257324162845375,-1.0186700575008365,1.693587104650036,0.1984273722295931,-0.4592411147389709,6194000000,-15876000000,11063000000,11964000000,3736000000,29930000000,0.1413321598951173,2020-09-30
-0.9881014191115556,-1.7256709492002018,-1.1258586431962638,-1.4742473560223368,0.382229117145516,-1.1481321842960897,3.908715590911224,-1.7256709492002018,-0.9881014191115556,5843000000,-17804000000,7459000000,20606000000,8863000000,37466000000,0.4149826044389122,2020-06-30
-1.631929602817802,-1.8558951796034195,-0.4184012724284979,-1.4073340024567662,-1.0267400889834415,-1.1028313927203548,-0.5676898917415949,-1.8558951796034195,-1.631929602817802,3989000000,-8894000000,6795000000,3064000000,-7437000000,27201000000,0.0551346638696432,2020-03-31
-1.7232833295788994,-1.863279689710111,-0.286342563218515,-1.199550430858416,-0.7288697245669434,-1.0785599821468976,-0.5215413816111534,-1.863279689710111,-1.7232833295788994,3879000000,-3536000000,5312000000,19659000000,11169000000,36092000000,0.0644791086155116,2019-12-31
-1.8478822370095636,-1.8739711760819728,-0.017508762326764,-1.2206809635633329,-1.0293118389179676,-1.1749446450739878,-0.5215413816111534,-1.8739711760819728,-1.8478822370095636,3157000000,-5074000000,4697000000,7892000000,173000000,23255000000,0.0,2019-09-30
