Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome,observation_date,GDP,Quarterly_Return,Money_Supply_2,Money_Supply_1,Interest_Rate,PPI,Real_Dollar_Index,CPI,Unemployment_Rate
GOOG,2022-06-30,USD,39639000000,69743000000,30104000000,30104000000,19453000000,10287000000,9841000000,20128000000,None,-83000000,486000000,83000000,69826000000,259000000,None,4844000000,19014000000,3012000000,83000000,16002000000,14223000000,19097000000,24297000000,16002000000,USD,355185000000,172371000000,17936000000,124997000000,1980000000,37073000000,77991000000,106223000000,None,25326000000,1377000000,23949000000,142135000000,32065000000,107061000000,8321000000,5712000000,99766000000,61354000000,4409000000,3744000000,82000000,0,38412000000,1884000000,12850000000,None,10400000000,-150000000,51376000000,2422000000,255419000000,None,196845000000,64402000000,13078000000,USD,19422000000,None,None,2784000000,2814000000,3899000000,6828000000,1969000000,None,16002000000,-4187000000,-17817000000,None,15197000000,15197000000,None,None,None,None,None,None,None,-15197000000,None,-2582000000,None,16002000000,2022-06-30,0.27053623889152884,-0.21680712669374103,0.9214235691946167,0.8126108465766078,-0.9937999339862807,1.1357256085799892,0.7504419857711584,0.5180081480299389,-0.5215413816111534
GOOG,2022-03-31,USD,38460000000,68059000000,29599000000,29599000000,20094000000,9199000000,9119000000,18318000000,None,-83000000,414000000,83000000,68142000000,-125000000,None,4215000000,18934000000,2498000000,83000000,16436000000,14010000000,19017000000,24309000000,16436000000,USD,357096000000,177853000000,20886000000,133970000000,1369000000,35622000000,76425000000,104218000000,None,24323000000,1313000000,23010000000,147340000000,31944000000,113084000000,6892000000,5778000000,103092000000,61948000000,3436000000,3697000000,181000000,0,41144000000,1944000000,14791000000,None,11400000000,-153000000,53047000000,2242000000,254004000000,None,195221000000,62832000000,658763000,USD,25106000000,None,None,-5683000000,-3588000000,3782000000,9786000000,-4364000000,None,16436000000,-9051000000,-16214000000,None,13300000000,13300000000,None,None,None,None,None,None,None,-13300000000,None,-159000000,None,16436000000,2022-03-31,0.07732925972842776,-0.03476649163505696,0.8580116215401045,0.8262070543932548,-1.1117094957809084,0.4716281832189576,-0.10955119233421728,0.1848238927751541,-0.4753928714807119
GOOG,2021-12-31,USD,42152000000,75140000000,32988000000,32988000000,21885000000,11744000000,8708000000,20452000000,None,-117000000,378000000,117000000,-181639000000,120000000,None,3439000000,24402000000,3760000000,117000000,20642000000,19427000000,24519000000,25643000000,20642000000,USD,359268000000,188143000000,20945000000,139649000000,1170000000,40270000000,172625000000,97599000000,49414000000,24373000000,1417000000,22956000000,152164000000,31049000000,118704000000,8020000000,5361000000,107633000000,64254000000,6037000000,3823000000,113000000,0,43379000000,1973000000,15440000000,0,12400000000,15440000000,52740000000,2205000000,251635000000,None,191484000000,61774000000,662121000,USD,24934000000,None,None,6066000000,6218000000,3439000000,6383000000,5819000000,5438000000,20642000000,-11016000000,-16511000000,None,13473000000,13473000000,None,None,None,None,None,None,None,-13473000000,None,-2593000000,None,20642000000,2021-12-31,-0.06617773609572862,0.08564858282091392,0.6913230177374471,0.785980257712597,-1.1117094957809084,0.2607454668238865,-0.25221130470222297,-0.1070025798418238,-0.38309585121982914
GOOG,2021-09-30,USD,37307000000,64928000000,27621000000,27621000000,21031000000,8772000000,7694000000,16466000000,None,-77000000,387000000,77000000,65005000000,8000000,None,3304000000,23064000000,4128000000,77000000,18936000000,18338000000,23141000000,24426000000,18936000000,USD,347403000000,184110000000,23719000000,142003000000,1278000000,34800000000,70162000000,94631000000,None,24172000000,1549000000,22623000000,146960000000,27601000000,118284000000,6029000000,4276000000,102836000000,61782000000,4616000000,6978000000,249000000,0,41054000000,1447000000,12300000000,0,12300000000,-159000000,52097000000,2250000000,244567000000,None,183782000000,61193000000,664682000,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,1664000000,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000,2021-09-30,-0.3460372107907515,0.06343564203750418,0.48121540519045813,0.6940332938710926,-1.1022767308373382,-0.042653765264213085,-0.9162577117962186,-0.4077227281743458,-0.013907770176297516
GOOG,2021-06-30,USD,35653000000,61880000000,26227000000,26227000000,19361000000,8617000000,7675000000,16292000000,None,-76000000,389000000,76000000,61960000000,-90000000,None,2945000000,21985000000,3460000000,76000000,18525000000,18718000000,22061000000,22174000000,18525000000,USD,335387000000,175697000000,23630000000,135863000000,907000000,32851000000,69593000000,91697000000,None,24032000000,1626000000,22406000000,140465000000,27132000000,112233000000,6076000000,4298000000,97822000000,55741000000,4708000000,6425000000,117000000,0,42081000000,1491000000,12400000000,0,12400000000,-163000000,46281000000,2270000000,237565000000,None,176939000000,60436000000,667637000,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,4005000000,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000,2021-06-30,-0.5270783362938625,0.21158445830168437,0.2791049682075426,0.6079132762367229,-1.1164258782526937,-0.5339386506535319,-1.3221621474622687,-0.5493205602563276,0.5398743513889999
GOOG,2021-03-31,USD,31211000000,55314000000,24103000000,24103000000,16437000000,7289000000,7485000000,14774000000,None,-76000000,345000000,76000000,55519000000,373000000,None,2753000000,21283000000,3353000000,76000000,17930000000,17294000000,21359000000,19248000000,17930000000,USD,327095000000,172137000000,26622000000,135104000000,888000000,28499000000,68952000000,87606000000,None,24164000000,1823000000,22341000000,142520000000,26894000000,108482000000,7646000000,4167000000,97082000000,55453000000,4801000000,3220000000,1090000000,0,41629000000,1052000000,14000000000,1000000000,13000000000,-165000000,46074000000,2146000000,230013000000,None,170580000000,59436000000,671094000,USD,19289000000,None,None,-4375000000,-2801000000,2753000000,5942000000,-2794000000,-3967000000,17930000000,-5383000000,-13606000000,None,11395000000,11395000000,None,None,None,None,None,None,None,-11395000000,None,300000000,None,17930000000,2021-03-31,-0.7601403509283045,0.1808057767181459,-0.0433266102166436,0.49058779461703866,-1.1069931133091233,-0.995288614710885,-1.2717969967445188,-0.8061856869570243,0.6321713716498824
GOOG,2020-12-31,USD,30038000000,56118000000,26080000000,26080000000,15651000000,8145000000,7022000000,15167000000,None,-53000000,386000000,53000000,-125497000000,-420000000,None,3725000000,18689000000,3462000000,53000000,15227000000,15814000000,18742000000,19292000000,15227000000,USD,319616000000,174296000000,26465000000,136694000000,728000000,31384000000,146720000000,84749000000,41713000000,22620000000,1445000000,21175000000,138984000000,22103000000,110229000000,5490000000,3953000000,97072000000,56834000000,5589000000,3024000000,1100000000,0,40238000000,1100000000,15319000000,999000000,14000000000,15319000000,47008000000,2269000000,222544000000,None,163401000000,58510000000,675222000,USD,22677000000,554000000,None,5783000000,6183000000,3725000000,5479000000,5445000000,5237000000,15227000000,-7281000000,-9270000000,None,7904000000,7904000000,None,None,None,None,None,None,None,-7904000000,None,6126000000,None,15227000000,2020-12-31,-0.9526030429990517,0.19207944703712676,-0.2761736664129892,0.3633420574711582,-1.1069931133091233,-1.2875943171289033,-1.56748651721654,-0.9289446985577992,0.9090624324325313
GOOG,2020-09-30,USD,25013000000,46130000000,21117000000,21117000000,11213000000,6987000000,6856000000,13843000000,None,-48000000,460000000,48000000,46178000000,-88000000,None,3478000000,13359000000,2112000000,48000000,11247000000,11589000000,13407000000,14954000000,11247000000,USD,299243000000,164369000000,20129000000,132596000000,835000000,25513000000,134874000000,81636000000,None,22390000000,1520000000,20870000000,134397000000,15956000000,112467000000,5425000000,3274000000,86323000000,48200000000,4391000000,2756000000,1121000000,0,38123000000,1074000000,14899000000,999000000,13900000000,-173000000,39972000000,2194000000,212920000000,None,155567000000,57307000000,677724000,USD,17003000000,527000000,None,3690000000,3834000000,3478000000,5406000000,3601000000,3726000000,11247000000,-15197000000,546000000,None,7897000000,7897000000,None,None,None,None,None,None,None,-7897000000,None,5314000000,None,11247000000,2020-09-30,-1.0783581043341868,0.039607915775875746,-0.4565947939115267,0.26181193416502807,-1.1069931133091233,-1.4108557579075856,-0.7786793772988347,-1.0186700575008363,1.416696043867387
GOOG,2020-06-30,USD,19744000000,38297000000,18553000000,18553000000,6383000000,6486000000,6875000000,13361000000,None,-13000000,433000000,13000000,38761000000,-147000000,None,3386000000,8277000000,1318000000,13000000,6959000000,7760000000,8290000000,9926000000,6959000000,USD,278492000000,149069000000,17742000000,121080000000,815000000,21595000000,129423000000,78748000000,None,22521000000,1697000000,20824000000,122355000000,14161000000,103338000000,5579000000,2731000000,71170000000,43658000000,4064000000,2458000000,1136000000,0,27512000000,1171000000,5297000000,997000000,2963000000,-37000000,36117000000,1992000000,207322000000,None,151681000000,55937000000,681215000,USD,13993000000,493000000,None,1689000000,324000000,3386000000,5391000000,80000000,1367000000,6959000000,-8448000000,-7498000000,None,6852000000,6852000000,None,None,None,None,None,None,None,-6852000000,None,1075000000,None,6959000000,2020-06-30,-1.650846126870244,0.21568437305687005,-0.9866702085725575,0.166076652679216,-1.1258586431962638,-1.6749874167190475,-0.3038314693880219,-1.1481321842960897,2.893448368041513
GOOG,2020-03-31,USD,22177000000,41159000000,18982000000,18982000000,7977000000,7380000000,6820000000,14200000000,None,-21000000,586000000,21000000,41310000000,18000000,None,3108000000,7757000000,921000000,21000000,6836000000,6971000000,7778000000,11769000000,6836000000,USD,273403000000,147018000000,19644000000,117229000000,889000000,23735000000,126385000000,87966000000,None,22574000000,1840000000,20734000000,114470000000,13567000000,97585000000,5165000000,2748000000,69744000000,40189000000,4099000000,2288000000,1312000000,0,19079000000,1154000000,5512000000,1312000000,3960000000,-40000000,32840000000,2427000000,203659000000,None,151068000000,53688000000,683972000,USD,11451000000,430000000,None,-4329000000,-2487000000,3108000000,6005000000,-2602000000,-4517000000,6836000000,-1847000000,-8186000000,None,8496000000,8496000000,None,None,None,None,None,None,None,-8496000000,None,1418000000,None,6836000000,2020-03-31,-1.064249379882544,-0.13029721440526776,-1.6319776529522652,-1.8104620260449595,-0.41840127242849795,-1.188985164505957,0.04946524961737357,-1.1028313927203548,-0.15235330056762175
